game,cause
623,forced_CAST_not_in_hand
624,ability_logged
625,field_oppo_life
626,field_user_lands
627,ability_logged
628,forced_SWAP_not_in_library_graveyard
629,field_user_hand
630,forced_CAST_activate_failed
631,forced_SWAP_not_in_library_missing
632,field_user_life
633,hidden_choice
634,field_user_hand
635,field_oppo_hand
636,forced_BLOCK_no_blocker
637,hidden_choice
638,ability_logged
639,forced_DRAW_not_in_library_graveyard
640,field_oppo_life
641,hidden_choice
642,ability_logged
643,hidden_choice
644,forced_CAST_not_playable
645,forced_BLOCK_no_blocker
646,forced_DRAW_not_in_library_graveyard
647,forced_DRAW_not_in_library_graveyard
648,field_oppo_life
649,hidden_choice
650,forced_LAND_not_in_hand
651,hidden_choice
652,forced_CAST_not_in_hand
653,field_oppo_life
654,field_user_life
655,field_user_life
656,hidden_choice
657,hidden_choice
658,field_user_creatures
659,forced_SWAP_no_spare_hand_grew
660,forced_CAST_activate_failed
661,field_oppo_life
662,ability_logged
663,ability_logged
664,field_user_creatures
665,field_oppo_life
666,hidden_choice
667,forced_ATTACK_no_attacker_sick_or_cannot
668,forced_CAST_activate_failed
669,field_user_creatures
670,hidden_choice
671,forced_CAST_not_in_hand
672,ability_logged
673,forced_SWAP_not_in_library_missing
674,field_oppo_life
675,ability_logged
676,field_user_creatures
677,forced_LAND_not_in_hand
678,ability_logged
679,forced_DRAW_not_in_library_graveyard
680,forced_CAST_not_playable
681,forced_BLOCK_no_blocker
682,forced_DRAW_not_in_library_graveyard
683,hidden_choice
684,field_oppo_life
685,hidden_choice
686,field_user_hand
687,ability_logged
688,ability_logged
689,ability_logged
690,ability_logged
691,ability_logged
692,field_user_hand
693,ability_logged
694,forced_BLOCK_no_blocker
695,ability_logged
696,field_oppo_life
697,field_oppo_life
698,ability_logged
699,field_user_hand
700,hidden_choice
701,field_user_creatures
702,forced_LAND_not_in_hand
703,forced_DRAW_not_in_library_graveyard
704,hidden_choice
705,ability_logged
706,field_user_creatures
707,forced_LAND_not_in_hand
708,hidden_choice
709,hidden_choice
710,field_oppo_life
711,ability_logged
712,forced_ATTACK_no_attacker_tapped
713,forced_SWAP_not_in_library_battlefield
714,ability_logged
715,forced_DRAW_not_in_library_graveyard
716,forced_DRAW_not_in_library_graveyard
717,ability_logged
718,hidden_choice
719,forced_SWAP_not_in_library_battlefield
720,forced_CAST_not_in_hand
721,field_oppo_life
722,forced_CAST_not_playable
723,ability_logged
724,field_oppo_life
725,forced_SWAP_not_in_library_graveyard
726,forced_SWAP_not_in_library_graveyard
727,ability_logged
728,forced_LAND_not_in_hand
729,forced_CAST_not_playable
730,ability_logged
731,ability_logged
732,forced_DRAW_not_in_library_elsewhere
733,forced_CAST_not_in_hand
734,forced_DRAW_not_in_library_graveyard
735,ability_logged
736,forced_SWAP_no_spare_hand_grew
737,hidden_choice
738,ability_logged
739,ability_logged
740,forced_SWAP_no_spare_hand_grew
741,field_user_creatures
742,hidden_choice
743,ability_logged
744,forced_CAST_activate_failed
745,forced_CAST_not_in_hand
746,forced_SWAP_not_in_library_battlefield
747,ability_logged
748,hidden_choice
749,ability_logged
750,field_oppo_life
751,field_oppo_hand
752,field_user_hand
753,ability_logged
754,field_oppo_life
755,forced_CAST_not_in_hand
756,field_oppo_life
757,ability_logged
758,forced_DRAW_not_in_library_graveyard
759,forced_DRAW_not_in_library_hand
760,field_user_life
761,forced_CAST_not_playable
762,hidden_choice
763,field_user_creatures
764,field_user_hand
765,field_user_life
766,forced_SWAP_not_in_library_missing
767,hidden_choice
768,field_oppo_life
769,hidden_choice
770,hidden_choice
771,forced_CAST_activate_failed
772,hidden_choice
773,hidden_choice
774,field_user_life
775,field_oppo_life
776,field_user_life
777,forced_BLOCK_no_blocker
778,field_user_life
779,field_oppo_life
780,forced_DRAW_not_in_library_graveyard
781,ability_logged
782,ability_logged
783,forced_SWAP_not_in_library_graveyard
784,hidden_choice
785,ability_logged
786,ability_logged
787,ability_logged
788,field_oppo_hand
789,hidden_choice
790,forced_DRAW_not_in_library_graveyard
791,forced_LAND_not_in_hand
792,forced_CAST_not_playable
793,ability_logged
794,field_oppo_life
795,field_oppo_life
796,field_user_life
797,ability_logged
798,field_oppo_life
799,ability_logged
800,ability_logged
801,ability_logged
802,ability_logged
803,ability_logged
804,field_user_life
805,forced_SWAP_not_in_library_graveyard
806,ability_logged
807,hidden_choice
808,ability_logged
809,hidden_choice
810,forced_ATTACK_no_attacker_sick_or_cannot
811,ability_logged
812,forced_CAST_activate_failed
813,forced_SWAP_not_in_library_battlefield
814,forced_LAND_not_in_hand
815,ability_logged
816,ability_logged
817,ability_logged
818,field_user_creatures
819,field_oppo_life
820,ability_logged
821,hidden_choice
822,hidden_choice
823,hidden_choice
824,ability_logged
825,field_user_life
826,forced_LAND_not_in_hand
827,hidden_choice
828,hidden_choice
829,field_user_hand
830,hidden_choice
831,ability_logged
832,forced_SWAP_not_in_library_missing
833,field_user_creatures
834,hidden_choice
835,ability_logged
836,field_oppo_life
837,field_user_hand
838,hidden_choice
839,field_oppo_life
840,ability_logged
841,ability_logged
842,field_user_life
843,ability_logged
844,ability_logged
845,hidden_choice
846,forced_SWAP_not_in_library_graveyard
847,ability_logged
848,ability_logged
849,forced_CAST_not_playable
850,ability_logged
851,field_oppo_life
852,field_user_creatures
853,ability_logged
854,field_user_creatures
855,hidden_choice
856,field_user_life
857,forced_CAST_not_in_hand
858,forced_CAST_activate_failed
859,ability_logged
860,hidden_choice
861,ability_logged
862,forced_DRAW_not_in_library_elsewhere
863,hidden_choice
864,hidden_choice
865,hidden_choice
866,hidden_choice
867,forced_DRAW_not_in_library_graveyard
868,field_oppo_life
869,ability_logged
870,field_oppo_life
871,forced_ATTACK_no_attacker_absent
872,field_user_creatures
873,ability_logged
874,ability_logged
875,ability_logged
877,ability_logged
878,ability_logged
879,forced_ATTACK_no_attacker_absent
880,forced_BLOCK_no_blocker
881,forced_LAND_not_in_hand
882,field_user_lands
883,ability_logged
884,forced_CAST_not_playable
