game,user_deck_covered,opp_logged_covered,both_covered,deck_distinct,deck_cards,user_missing,opp_missing
720,1,1,1,26,40,,
721,1,1,1,20,40,,
722,1,1,1,23,40,,
723,1,1,1,20,40,,
724,1,1,1,26,41,,
725,1,1,1,19,40,,
726,1,1,1,23,40,,
727,1,1,1,21,40,,
728,1,1,1,21,40,,
729,1,1,1,23,40,,
730,1,1,1,26,40,,
731,1,1,1,23,40,,
732,1,1,1,22,40,,
733,1,1,1,23,40,,
734,1,1,1,24,40,,
735,1,1,1,21,40,,
736,1,1,1,22,40,,
737,1,1,1,23,40,,
738,1,1,1,21,40,,
739,1,1,1,22,40,,
740,1,1,1,23,40,,
741,1,1,1,22,40,,
742,1,1,1,25,40,,
743,1,1,1,21,40,,
744,1,1,1,23,40,,
745,1,1,1,24,40,,
746,1,1,1,18,40,,
747,1,1,1,24,40,,
748,1,1,1,24,40,,
749,1,1,1,22,40,,
750,1,1,1,25,40,,
751,1,1,1,20,40,,
752,1,1,1,24,40,,
753,1,1,1,26,40,,
754,1,1,1,20,40,,
755,1,1,1,24,41,,
756,1,1,1,26,40,,
757,1,1,1,22,40,,
758,1,1,1,27,42,,
759,1,1,1,24,40,,
760,1,1,1,20,40,,
761,1,1,1,20,40,,
762,1,1,1,26,40,,
763,1,1,1,23,40,,
764,1,1,1,22,40,,
765,1,1,1,25,40,,
766,1,1,1,22,40,,
767,1,1,1,20,40,,
768,1,1,1,19,40,,
769,1,1,1,27,40,,
770,1,1,1,28,40,,
771,1,1,1,21,40,,
772,1,1,1,21,40,,
773,1,1,1,25,40,,
774,1,1,1,16,40,,
775,1,1,1,23,40,,
776,1,1,1,24,40,,
777,1,1,1,21,40,,
778,1,1,1,25,40,,
779,1,1,1,21,40,,
780,1,1,1,21,40,,
781,1,1,1,24,41,,
782,1,1,1,22,40,,
783,1,1,1,21,40,,
784,1,1,1,26,40,,
785,1,1,1,18,40,,
786,1,1,1,25,40,,
787,1,1,1,25,40,,
788,1,1,1,26,40,,
789,1,1,1,18,40,,
790,1,1,1,21,40,,
791,1,1,1,20,40,,
792,1,1,1,23,40,,
793,1,1,1,22,40,,
794,1,1,1,23,40,,
795,1,1,1,27,41,,
796,1,1,1,24,40,,
797,1,1,1,21,40,,
798,1,1,1,24,40,,
799,1,1,1,23,40,,
800,1,1,1,21,40,,
